Id 	 gr 	 gf 	 gl 	 r 	 prop phase 1 	 prop phase 2 	 prop phase 3 
phaseproportion_mechadapt54_	2.0	0.0	50.0	0.7625	0.45384615384615384	0.2692307692307692	0.27692307692307694
phaseproportion_mechadapt21_	2.0	0.0	50.0	0.9750000000000001	0.35384615384615387	0.3769230769230769	0.2692307692307692
phaseproportion_mechadapt168_	2.0	0.0	50.0	1.734375	0.08461538461538462	0.8307692307692308	0.08461538461538462
phaseproportion_mechadapt67_	2.0	0.0	50.0	0.41875	0.9538461538461539	0.0	0.046153846153846156
phaseproportion_mechadapt116_	2.0	0.0	50.0	0.55625	0.6307692307692307	0.16923076923076924	0.2
phaseproportion_mechadapt13_	2.0	0.0	50.0	0.8500000000000001	0.4153846153846154	0.3	0.2846153846153846
phaseproportion_mechadapt248_	2.0	0.0	50.0	1.765625	0.07692307692307693	0.8461538461538461	0.07692307692307693
phaseproportion_mechadapt228_	2.0	0.0	50.0	2.140625	0.0	0.9538461538461539	0.046153846153846156
phaseproportion_mechadapt175_	2.0	0.0	50.0	3.484375	0.0	1.0	0.0
phaseproportion_mechadapt126_	2.0	0.0	50.0	0.60625	0.5615384615384615	0.2230769230769231	0.2153846153846154
phaseproportion_mechadapt169_	2.0	0.0	50.0	1.984375	0.0	0.9461538461538461	0.05384615384615385
phaseproportion_mechadapt236_	2.0	0.0	50.0	2.890625	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt52_	2.0	0.0	50.0	0.5625	0.6307692307692307	0.16923076923076924	0.2
phaseproportion_mechadapt86_	2.0	0.0	50.0	0.79375	0.4230769230769231	0.3	0.27692307692307694
phaseproportion_mechadapt132_	2.0	0.0	50.0	2.046875	0.0	0.9538461538461539	0.046153846153846156
phaseproportion_mechadapt76_	2.0	0.0	50.0	0.46875	0.8384615384615385	0.023076923076923078	0.13846153846153847
phaseproportion_mechadapt244_	2.0	0.0	50.0	2.265625	0.0	0.9692307692307692	0.03076923076923077
phaseproportion_mechadapt200_	2.0	0.0	50.0	1.578125	0.12307692307692308	0.7615384615384615	0.11538461538461539
phaseproportion_mechadapt242_	2.0	0.0	50.0	3.265625	0.0	1.0	0.0
phaseproportion_mechadapt45_	2.0	0.0	50.0	0.8875	0.3923076923076923	0.3153846153846154	0.2923076923076923
phaseproportion_mechadapt80_	2.0	0.0	50.0	0.29375	1.0	0.0	0.0
phaseproportion_mechadapt239_	2.0	0.0	50.0	3.390625	0.0	1.0	0.0
