r_bar 	 gA 	 gD 	 gS 	 sigma_bar_0 	 gamma_bar_0 	 phase
1.0	1.0	0.0	10.0	0.5	3.5	2
1.0	1.0	0.0	10.0	0.75	3.5	2
1.0	1.0	0.0	10.0	1.0	3.5	2
1.0	1.0	0.0	10.0	1.25	3.5	2
1.0	1.0	0.0	10.0	1.5	3.5	2
1.0	1.0	0.0	10.0	1.75	3.5	2
1.0	1.0	0.0	10.0	2.0	3.5	2
1.0	1.0	0.0	10.0	2.25	3.5	2
1.0	1.0	0.0	10.0	2.5	3.5	2
1.0	1.0	0.0	10.0	2.75	3.5	2
1.0	1.0	0.0	10.0	3.0	3.5	2
1.0	1.0	0.0	10.0	3.25	3.5	2
1.0	1.0	0.0	10.0	3.5	3.5	2
1.0	1.0	0.0	10.0	3.75	3.5	2
1.0	1.0	0.0	10.0	4.0	3.5	1
1.0	1.0	0.0	10.0	4.25	3.5	1
1.0	1.0	0.0	10.0	4.5	3.5	1
1.0	1.0	0.0	10.0	4.75	3.5	1
1.0	1.0	0.0	10.0	5.0	3.5	1
1.0	1.0	0.0	10.0	5.25	3.5	1
1.0	1.0	0.0	10.0	5.5	3.5	1
1.0	1.0	0.0	10.0	0.5	4.0	3
1.0	1.0	0.0	10.0	0.75	4.0	2
1.0	1.0	0.0	10.0	1.0	4.0	2
1.0	1.0	0.0	10.0	1.25	4.0	2
1.0	1.0	0.0	10.0	1.5	4.0	2
1.0	1.0	0.0	10.0	1.75	4.0	2
1.0	1.0	0.0	10.0	2.0	4.0	2
1.0	1.0	0.0	10.0	2.25	4.0	2
1.0	1.0	0.0	10.0	2.5	4.0	2
1.0	1.0	0.0	10.0	2.75	4.0	2
1.0	1.0	0.0	10.0	3.0	4.0	2
1.0	1.0	0.0	10.0	3.25	4.0	2
1.0	1.0	0.0	10.0	3.5	4.0	2
1.0	1.0	0.0	10.0	3.75	4.0	2
1.0	1.0	0.0	10.0	4.0	4.0	2
1.0	1.0	0.0	10.0	4.25	4.0	2
1.0	1.0	0.0	10.0	4.5	4.0	2
1.0	1.0	0.0	10.0	4.75	4.0	2
1.0	1.0	0.0	10.0	5.0	4.0	2
1.0	1.0	0.0	10.0	5.25	4.0	1
1.0	1.0	0.0	10.0	5.5	4.0	1
1.0	1.0	0.0	10.0	0.5	4.5	3
1.0	1.0	0.0	10.0	0.75	4.5	2
1.0	1.0	0.0	10.0	1.0	4.5	2
1.0	1.0	0.0	10.0	1.25	4.5	2
1.0	1.0	0.0	10.0	1.5	4.5	2
1.0	1.0	0.0	10.0	1.75	4.5	2
1.0	1.0	0.0	10.0	2.0	4.5	2
1.0	1.0	0.0	10.0	2.25	4.5	2
1.0	1.0	0.0	10.0	2.5	4.5	2
1.0	1.0	0.0	10.0	2.75	4.5	2
1.0	1.0	0.0	10.0	3.0	4.5	2
1.0	1.0	0.0	10.0	3.25	4.5	2
1.0	1.0	0.0	10.0	3.5	4.5	2
1.0	1.0	0.0	10.0	3.75	4.5	2
1.0	1.0	0.0	10.0	4.0	4.5	2
1.0	1.0	0.0	10.0	4.25	4.5	2
1.0	1.0	0.0	10.0	4.5	4.5	2
1.0	1.0	0.0	10.0	4.75	4.5	2
1.0	1.0	0.0	10.0	5.0	4.5	2
1.0	1.0	0.0	10.0	5.25	4.5	2
1.0	1.0	0.0	10.0	5.5	4.5	2
1.0	1.0	0.0	10.0	0.5	5.0	3
1.0	1.0	0.0	10.0	0.75	5.0	3
1.0	1.0	0.0	10.0	1.0	5.0	2
1.0	1.0	0.0	10.0	1.25	5.0	2
1.0	1.0	0.0	10.0	1.5	5.0	2
1.0	1.0	0.0	10.0	1.75	5.0	2
1.0	1.0	0.0	10.0	2.0	5.0	2
1.0	1.0	0.0	10.0	2.25	5.0	2
1.0	1.0	0.0	10.0	2.5	5.0	2
1.0	1.0	0.0	10.0	2.75	5.0	2
1.0	1.0	0.0	10.0	3.0	5.0	2
1.0	1.0	0.0	10.0	3.25	5.0	2
1.0	1.0	0.0	10.0	3.5	5.0	2
1.0	1.0	0.0	10.0	3.75	5.0	2
1.0	1.0	0.0	10.0	4.0	5.0	2
1.0	1.0	0.0	10.0	4.25	5.0	2
1.0	1.0	0.0	10.0	4.5	5.0	2
1.0	1.0	0.0	10.0	4.75	5.0	2
1.0	1.0	0.0	10.0	5.0	5.0	2
1.0	1.0	0.0	10.0	5.25	5.0	2
1.0	1.0	0.0	10.0	5.5	5.0	2
1.0	1.0	0.0	10.0	0.5	5.5	3
1.0	1.0	0.0	10.0	0.75	5.5	3
1.0	1.0	0.0	10.0	1.0	5.5	2
1.0	1.0	0.0	10.0	1.25	5.5	2
1.0	1.0	0.0	10.0	1.5	5.5	2
1.0	1.0	0.0	10.0	1.75	5.5	2
1.0	1.0	0.0	10.0	2.0	5.5	2
1.0	1.0	0.0	10.0	2.25	5.5	2
1.0	1.0	0.0	10.0	2.5	5.5	2
1.0	1.0	0.0	10.0	2.75	5.5	2
1.0	1.0	0.0	10.0	3.0	5.5	2
1.0	1.0	0.0	10.0	3.25	5.5	2
1.0	1.0	0.0	10.0	3.5	5.5	2
1.0	1.0	0.0	10.0	3.75	5.5	2
1.0	1.0	0.0	10.0	4.0	5.5	2
1.0	1.0	0.0	10.0	4.25	5.5	2
1.0	1.0	0.0	10.0	4.5	5.5	2
1.0	1.0	0.0	10.0	4.75	5.5	2
1.0	1.0	0.0	10.0	5.0	5.5	2
1.0	1.0	0.0	10.0	5.25	5.5	2
1.0	1.0	0.0	10.0	5.5	5.5	2
1.0	1.0	0.0	10.0	0.5	6.0	3
1.0	1.0	0.0	10.0	0.75	6.0	3
1.0	1.0	0.0	10.0	1.0	6.0	3
1.0	1.0	0.0	10.0	1.25	6.0	2
1.0	1.0	0.0	10.0	1.5	6.0	2
1.0	1.0	0.0	10.0	1.75	6.0	2
1.0	1.0	0.0	10.0	2.0	6.0	2
1.0	1.0	0.0	10.0	2.25	6.0	2
1.0	1.0	0.0	10.0	2.5	6.0	2
1.0	1.0	0.0	10.0	2.75	6.0	2
1.0	1.0	0.0	10.0	3.0	6.0	2
1.0	1.0	0.0	10.0	3.25	6.0	2
1.0	1.0	0.0	10.0	3.5	6.0	2
1.0	1.0	0.0	10.0	3.75	6.0	2
1.0	1.0	0.0	10.0	4.0	6.0	2
1.0	1.0	0.0	10.0	4.25	6.0	2
1.0	1.0	0.0	10.0	4.5	6.0	2
1.0	1.0	0.0	10.0	4.75	6.0	2
1.0	1.0	0.0	10.0	5.0	6.0	2
1.0	1.0	0.0	10.0	5.25	6.0	2
1.0	1.0	0.0	10.0	5.5	6.0	2
1.0	1.0	0.0	10.0	0.5	6.5	3
1.0	1.0	0.0	10.0	0.75	6.5	3
1.0	1.0	0.0	10.0	1.0	6.5	3
1.0	1.0	0.0	10.0	1.25	6.5	3
1.0	1.0	0.0	10.0	1.5	6.5	2
1.0	1.0	0.0	10.0	1.75	6.5	2
1.0	1.0	0.0	10.0	2.0	6.5	2
1.0	1.0	0.0	10.0	2.25	6.5	2
1.0	1.0	0.0	10.0	2.5	6.5	2
1.0	1.0	0.0	10.0	2.75	6.5	2
1.0	1.0	0.0	10.0	3.0	6.5	2
1.0	1.0	0.0	10.0	3.25	6.5	2
1.0	1.0	0.0	10.0	3.5	6.5	2
1.0	1.0	0.0	10.0	3.75	6.5	2
1.0	1.0	0.0	10.0	4.0	6.5	2
1.0	1.0	0.0	10.0	4.25	6.5	2
1.0	1.0	0.0	10.0	4.5	6.5	2
1.0	1.0	0.0	10.0	4.75	6.5	2
1.0	1.0	0.0	10.0	5.0	6.5	2
1.0	1.0	0.0	10.0	5.25	6.5	2
1.0	1.0	0.0	10.0	5.5	6.5	2
1.0	1.0	0.0	10.0	0.5	7.0	3
1.0	1.0	0.0	10.0	0.75	7.0	3
1.0	1.0	0.0	10.0	1.0	7.0	3
1.0	1.0	0.0	10.0	1.25	7.0	3
1.0	1.0	0.0	10.0	1.5	7.0	2
1.0	1.0	0.0	10.0	1.75	7.0	2
1.0	1.0	0.0	10.0	2.0	7.0	2
1.0	1.0	0.0	10.0	2.25	7.0	2
1.0	1.0	0.0	10.0	2.5	7.0	2
1.0	1.0	0.0	10.0	2.75	7.0	2
1.0	1.0	0.0	10.0	3.0	7.0	2
1.0	1.0	0.0	10.0	3.25	7.0	2
1.0	1.0	0.0	10.0	3.5	7.0	2
1.0	1.0	0.0	10.0	3.75	7.0	2
1.0	1.0	0.0	10.0	4.0	7.0	2
1.0	1.0	0.0	10.0	4.25	7.0	2
1.0	1.0	0.0	10.0	4.5	7.0	2
1.0	1.0	0.0	10.0	4.75	7.0	2
1.0	1.0	0.0	10.0	5.0	7.0	2
1.0	1.0	0.0	10.0	5.25	7.0	2
1.0	1.0	0.0	10.0	5.5	7.0	2
1.0	1.0	0.0	10.0	0.5	7.5	3
1.0	1.0	0.0	10.0	0.75	7.5	3
1.0	1.0	0.0	10.0	1.0	7.5	3
1.0	1.0	0.0	10.0	1.25	7.5	3
1.0	1.0	0.0	10.0	1.5	7.5	3
1.0	1.0	0.0	10.0	1.75	7.5	2
1.0	1.0	0.0	10.0	2.0	7.5	2
1.0	1.0	0.0	10.0	2.25	7.5	2
1.0	1.0	0.0	10.0	2.5	7.5	2
1.0	1.0	0.0	10.0	2.75	7.5	2
1.0	1.0	0.0	10.0	3.0	7.5	2
1.0	1.0	0.0	10.0	3.25	7.5	2
1.0	1.0	0.0	10.0	3.5	7.5	2
1.0	1.0	0.0	10.0	3.75	7.5	2
1.0	1.0	0.0	10.0	4.0	7.5	2
1.0	1.0	0.0	10.0	4.25	7.5	2
1.0	1.0	0.0	10.0	4.5	7.5	2
1.0	1.0	0.0	10.0	4.75	7.5	2
1.0	1.0	0.0	10.0	5.0	7.5	2
1.0	1.0	0.0	10.0	5.25	7.5	2
1.0	1.0	0.0	10.0	5.5	7.5	2
1.0	1.0	0.0	10.0	0.5	8.0	3
1.0	1.0	0.0	10.0	0.75	8.0	3
1.0	1.0	0.0	10.0	1.0	8.0	3
1.0	1.0	0.0	10.0	1.25	8.0	3
1.0	1.0	0.0	10.0	1.5	8.0	3
1.0	1.0	0.0	10.0	1.75	8.0	2
1.0	1.0	0.0	10.0	2.0	8.0	2
1.0	1.0	0.0	10.0	2.25	8.0	2
1.0	1.0	0.0	10.0	2.5	8.0	2
1.0	1.0	0.0	10.0	2.75	8.0	2
1.0	1.0	0.0	10.0	3.0	8.0	2
1.0	1.0	0.0	10.0	3.25	8.0	2
1.0	1.0	0.0	10.0	3.5	8.0	2
1.0	1.0	0.0	10.0	3.75	8.0	2
1.0	1.0	0.0	10.0	4.0	8.0	2
1.0	1.0	0.0	10.0	4.25	8.0	2
1.0	1.0	0.0	10.0	4.5	8.0	2
1.0	1.0	0.0	10.0	4.75	8.0	2
1.0	1.0	0.0	10.0	5.0	8.0	2
1.0	1.0	0.0	10.0	5.25	8.0	2
1.0	1.0	0.0	10.0	5.5	8.0	2
