 gA 	 gD 	 gS 	 rbar 	 prop phase 1 	 prop phase 2 	 prop phase 3 
2.0	0.0	50.0	2.390625	0.0	0.9769230769230769	0.023076923076923078
2.0	0.0	50.0	0.42500000000000004	0.9461538461538461	0.0	0.05384615384615385
2.0	0.0	50.0	0.7562500000000001	0.45384615384615384	0.2692307692307692	0.27692307692307694
2.0	0.0	50.0	4.296875	0.0	1.0	0.0
2.0	0.0	50.0	3.890625	0.0	1.0	0.0
2.0	0.0	50.0	0.30000000000000004	1.0	0.0	0.0
2.0	0.0	50.0	0.39375000000000004	0.9846153846153847	0.0	0.015384615384615385
2.0	0.0	50.0	0.47500000000000003	0.8153846153846154	0.03076923076923077	0.15384615384615385
2.0	0.0	50.0	2.765625	0.0	0.9923076923076923	0.007692307692307693
2.0	0.0	50.0	4.265625	0.0	1.0	0.0
2.0	0.0	50.0	0.275	1.0	0.0	0.0
2.0	0.0	50.0	0.4375	0.9153846153846154	0.0	0.08461538461538462
2.0	0.0	50.0	0.24375000000000002	1.0	0.0	0.0
2.0	0.0	50.0	2.515625	0.0	0.9769230769230769	0.023076923076923078
2.0	0.0	50.0	0.6125	0.5461538461538461	0.23846153846153847	0.2153846153846154
2.0	0.0	50.0	1.203125	0.24615384615384617	0.5615384615384615	0.19230769230769232
2.0	0.0	50.0	0.7250000000000001	0.47692307692307695	0.24615384615384617	0.27692307692307694
2.0	0.0	50.0	0.54375	0.6538461538461539	0.14615384615384616	0.2
2.0	0.0	50.0	0.71875	0.47692307692307695	0.24615384615384617	0.27692307692307694
2.0	0.0	50.0	0.4625	0.8538461538461538	0.015384615384615385	0.13076923076923078
2.0	0.0	50.0	0.8	0.4230769230769231	0.3	0.27692307692307694
2.0	0.0	50.0	0.8125	0.4230769230769231	0.2923076923076923	0.2846153846153846
2.0	0.0	50.0	4.515625	0.0	1.0	0.0
2.0	0.0	50.0	2.015625	0.0	0.9461538461538461	0.05384615384615385
2.0	0.0	50.0	0.9375	0.36153846153846153	0.35384615384615387	0.2846153846153846
2.0	0.0	50.0	0.8062500000000001	0.4230769230769231	0.3	0.27692307692307694
2.0	0.0	50.0	1.390625	0.17692307692307693	0.6615384615384615	0.16153846153846155
2.0	0.0	50.0	0.25	1.0	0.0	0.0
2.0	0.0	50.0	0.21250000000000002	1.0	0.0	0.0
2.0	0.0	50.0	0.5375000000000001	0.6615384615384615	0.13846153846153847	0.2
2.0	0.0	50.0	2.703125	0.0	0.9923076923076923	0.007692307692307693
2.0	0.0	50.0	0.95625	0.35384615384615387	0.36923076923076925	0.27692307692307694
2.0	0.0	50.0	1.703125	0.08461538461538462	0.8307692307692308	0.08461538461538462
2.0	0.0	50.0	0.9937500000000001	0.3384615384615385	0.3923076923076923	0.2692307692307692
2.0	0.0	50.0	4.328125	0.0	1.0	0.0
2.0	0.0	50.0	3.703125	0.0	1.0	0.0
2.0	0.0	50.0	4.390625	0.0	1.0	0.0
2.0	0.0	50.0	2.078125	0.0	0.9538461538461539	0.046153846153846156
2.0	0.0	50.0	4.578125	0.0	1.0	0.0
2.0	0.0	50.0	0.5875	0.5846153846153846	0.2076923076923077	0.2076923076923077
2.0	0.0	50.0	0.7125000000000001	0.4846153846153846	0.24615384615384617	0.2692307692307692
2.0	0.0	50.0	4.234375	0.0	1.0	0.0
2.0	0.0	50.0	0.41250000000000003	0.9538461538461539	0.0	0.046153846153846156
2.0	0.0	50.0	0.89375	0.3923076923076923	0.3153846153846154	0.2923076923076923
2.0	0.0	50.0	0.49375	0.7615384615384615	0.06923076923076923	0.16923076923076924
2.0	0.0	50.0	0.925	0.3769230769230769	0.3230769230769231	0.3
2.0	0.0	50.0	0.6000000000000001	0.5615384615384615	0.2230769230769231	0.2153846153846154
2.0	0.0	50.0	0.26875000000000004	1.0	0.0	0.0
2.0	0.0	50.0	3.359375	0.0	1.0	0.0
2.0	0.0	50.0	0.91875	0.3769230769230769	0.3230769230769231	0.3
2.0	0.0	50.0	0.375	1.0	0.0	0.0
2.0	0.0	50.0	0.7625	0.45384615384615384	0.2692307692307692	0.27692307692307694
2.0	0.0	50.0	0.9750000000000001	0.35384615384615387	0.3769230769230769	0.2692307692307692
2.0	0.0	50.0	1.734375	0.08461538461538462	0.8307692307692308	0.08461538461538462
2.0	0.0	50.0	0.41875	0.9538461538461539	0.0	0.046153846153846156
2.0	0.0	50.0	0.55625	0.6307692307692307	0.16923076923076924	0.2
2.0	0.0	50.0	0.8500000000000001	0.4153846153846154	0.3	0.2846153846153846
2.0	0.0	50.0	1.765625	0.07692307692307693	0.8461538461538461	0.07692307692307693
2.0	0.0	50.0	2.140625	0.0	0.9538461538461539	0.046153846153846156
2.0	0.0	50.0	3.484375	0.0	1.0	0.0
2.0	0.0	50.0	0.60625	0.5615384615384615	0.2230769230769231	0.2153846153846154
2.0	0.0	50.0	1.984375	0.0	0.9461538461538461	0.05384615384615385
2.0	0.0	50.0	2.890625	0.0	0.9923076923076923	0.007692307692307693
2.0	0.0	50.0	0.5625	0.6307692307692307	0.16923076923076924	0.2
2.0	0.0	50.0	0.79375	0.4230769230769231	0.3	0.27692307692307694
2.0	0.0	50.0	2.046875	0.0	0.9538461538461539	0.046153846153846156
2.0	0.0	50.0	0.46875	0.8384615384615385	0.023076923076923078	0.13846153846153847
2.0	0.0	50.0	2.265625	0.0	0.9692307692307692	0.03076923076923077
2.0	0.0	50.0	1.578125	0.12307692307692308	0.7615384615384615	0.11538461538461539
2.0	0.0	50.0	3.265625	0.0	1.0	0.0
2.0	0.0	50.0	0.8875	0.3923076923076923	0.3153846153846154	0.2923076923076923
2.0	0.0	50.0	0.29375	1.0	0.0	0.0
2.0	0.0	50.0	3.390625	0.0	1.0	0.0
2.0	0.0	50.0	0.43125	0.9230769230769231	0.0	0.07692307692307693
2.0	0.0	50.0	0.6875	0.49230769230769234	0.24615384615384617	0.26153846153846155
2.0	0.0	50.0	1.546875	0.13846153846153847	0.7461538461538462	0.11538461538461539
2.0	0.0	50.0	0.9437500000000001	0.35384615384615387	0.36153846153846153	0.2846153846153846
2.0	0.0	50.0	2.671875	0.0	0.9923076923076923	0.007692307692307693
2.0	0.0	50.0	2.171875	0.0	0.9615384615384616	0.038461538461538464
2.0	0.0	50.0	0.3375	1.0	0.0	0.0
2.0	0.0	50.0	3.453125	0.0	1.0	0.0
2.0	0.0	50.0	0.48125	0.7923076923076923	0.046153846153846156	0.16153846153846155
2.0	0.0	50.0	4.453125	0.0	1.0	0.0
2.0	0.0	50.0	0.6625000000000001	0.5076923076923077	0.24615384615384617	0.24615384615384617
2.0	0.0	50.0	0.34375	1.0	0.0	0.0
2.0	0.0	50.0	0.325	1.0	0.0	0.0
2.0	0.0	50.0	3.140625	0.0	1.0	0.0
2.0	0.0	50.0	4.640625	0.0	1.0	0.0
2.0	0.0	50.0	3.984375	0.0	1.0	0.0
2.0	0.0	50.0	1.171875	0.25384615384615383	0.5230769230769231	0.2230769230769231
2.0	0.0	50.0	0.35625	1.0	0.0	0.0
2.0	0.0	50.0	0.8375000000000001	0.4153846153846154	0.3	0.2846153846153846
2.0	0.0	50.0	1.953125	0.015384615384615385	0.9307692307692308	0.05384615384615385
2.0	0.0	50.0	1.671875	0.09230769230769231	0.8153846153846154	0.09230769230769231
2.0	0.0	50.0	0.7875000000000001	0.4230769230769231	0.3	0.27692307692307694
2.0	0.0	50.0	0.53125	0.6846153846153846	0.12307692307692308	0.19230769230769232
2.0	0.0	50.0	1.265625	0.2230769230769231	0.6	0.17692307692307693
2.0	0.0	50.0	0.68125	0.49230769230769234	0.25384615384615383	0.25384615384615383
2.0	0.0	50.0	1.078125	0.2923076923076923	0.46923076923076923	0.23846153846153847
2.0	0.0	50.0	0.45	0.8769230769230769	0.0	0.12307692307692308
2.0	0.0	50.0	4.140625	0.0	1.0	0.0
2.0	0.0	50.0	2.359375	0.0	0.9769230769230769	0.023076923076923078
2.0	0.0	50.0	1.328125	0.2	0.6307692307692307	0.16923076923076924
2.0	0.0	50.0	4.828125	0.0	1.0	0.0
2.0	0.0	50.0	0.25625000000000003	1.0	0.0	0.0
2.0	0.0	50.0	0.875	0.3923076923076923	0.3153846153846154	0.2923076923076923
2.0	0.0	50.0	0.30625	1.0	0.0	0.0
2.0	0.0	50.0	3.328125	0.0	1.0	0.0
2.0	0.0	50.0	4.109375	0.0	1.0	0.0
2.0	0.0	50.0	0.78125	0.4461538461538462	0.27692307692307694	0.27692307692307694
2.0	0.0	50.0	4.765625	0.0	1.0	0.0
2.0	0.0	50.0	4.984375	0.0	1.0	0.0
2.0	0.0	50.0	0.825	0.4230769230769231	0.2923076923076923	0.2846153846153846
2.0	0.0	50.0	0.6937500000000001	0.49230769230769234	0.24615384615384617	0.26153846153846155
